&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;  994 ;NLMCS _CJMCHAPEL_06074_UEE               ;      9999 ;1.0 ;1; 
EOLICA ; 1034 ;I3VERD_Verde Vale III_06173_UFV          ;      9999 ;1.0 ;0; 
EOLICA ; 1035 ;IDCJCT_CJCAETITE123_06195_UEE            ;      9999 ;1.0 ;1; 
EOLICA ; 1089 ;I3EVB2_Ventos da Bahia II_06342_UEE      ;      9999 ;1.0 ;0; 
EOLICA ; 1090 ;I3EVB4_Ventos da Bahia IV_06342_UEE      ;      9999 ;1.0 ;0; 
EOLICA ; 1091 ;I3EVB8_Ventos da Bahia VIII_06342_UEE    ;      9999 ;1.0 ;0; 
EOLICA ; 1107 ;DSBMC _CJBMACAUBAS_06370_UEE             ;      9999 ;1.0 ;1; 
EOLICA ; 1108 ;DSUEMA_MACAUBAS_06370_UEE                ;      9999 ;1.0 ;1; 
EOLICA ; 1109 ;DSUENH_N.HORIZONTE_06370_UEE             ;      9999 ;1.0 ;1; 
EOLICA ; 1110 ;DSUESE_SEABRA_06370_UEE                  ;      9999 ;1.0 ;1; 
&XXXXXXXXXX ;XXXXX ;XXXXX ;
&           ;CODIGO;BARRA ;
&XXXXXXXXXX ;XXXXX ;XXXXX ;
EOLICABARRA ;  994 ;06074 ;
EOLICABARRA ; 1034 ;06173 ;
EOLICABARRA ; 1035 ;06195 ;
EOLICABARRA ; 1089 ;06342 ;
EOLICABARRA ; 1090 ;06342 ;
EOLICABARRA ; 1091 ;06342 ;
EOLICABARRA ; 1107 ;06370 ;
EOLICABARRA ; 1108 ;06370 ;
EOLICABARRA ; 1109 ;06370 ;
EOLICABARRA ; 1110 ;06370 ;
&XXXXXXXXXX;XXXXX ;XX ;
&          ;CODIGO;SBM;
&XXXXXXXXXX;XXXXX ;XX ;
EOLICASUBM ;  994 ;NE ;
EOLICASUBM ; 1034 ;NE ;
EOLICASUBM ; 1035 ;NE ;
EOLICASUBM ; 1089 ;NE ;
EOLICASUBM ; 1090 ;NE ;
EOLICASUBM ; 1091 ;NE ;
EOLICASUBM ; 1107 ;NE ;
EOLICASUBM ; 1108 ;NE ;
EOLICASUBM ; 1109 ;NE ;
EOLICASUBM ; 1110 ;NE ;
&XXXXXXXXXXXXXX;XXXXX ;XX ;XX ;X ;XX ;XX ;X ;XXXXXXXXXX ;
EOLICA-GERACAO ;  994 ; 8 ;23 ;0 ; 8 ;23 ;1 ;      59.5 ;
EOLICA-GERACAO ;  994 ; 8 ;23 ;1 ; 9 ; 0 ;0 ;        58 ;
EOLICA-GERACAO ; 1034 ; 4 ; 0 ;0 ; 4 ; 5 ;1 ;         0 ;
EOLICA-GERACAO ; 1034 ; 4 ; 5 ;1 ; 4 ; 6 ;0 ;         1 ;
EOLICA-GERACAO ; 1034 ; 4 ; 6 ;0 ; 4 ; 6 ;1 ;         2 ;
EOLICA-GERACAO ; 1034 ; 4 ; 6 ;1 ; 4 ; 7 ;0 ;         5 ;
EOLICA-GERACAO ; 1034 ; 4 ; 7 ;0 ; 4 ; 7 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 4 ; 7 ;1 ; 4 ; 8 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 4 ; 8 ;0 ; 4 ; 9 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 4 ; 9 ;0 ; 4 ;13 ;0 ;        13 ;
EOLICA-GERACAO ; 1034 ; 4 ;13 ;0 ; 4 ;14 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 4 ;14 ;0 ; 4 ;14 ;1 ;        11 ;
EOLICA-GERACAO ; 1034 ; 4 ;14 ;1 ; 4 ;15 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 4 ;15 ;0 ; 4 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 4 ;15 ;1 ; 4 ;16 ;0 ;         7 ;
EOLICA-GERACAO ; 1034 ; 4 ;16 ;0 ; 4 ;16 ;1 ;         5 ;
EOLICA-GERACAO ; 1034 ; 4 ;16 ;1 ; 4 ;17 ;0 ;         2 ;
EOLICA-GERACAO ; 1034 ; 4 ;17 ;0 ; 4 ;17 ;1 ;         1 ;
EOLICA-GERACAO ; 1034 ; 4 ;17 ;1 ; 5 ; 5 ;1 ;         0 ;
EOLICA-GERACAO ; 1034 ; 5 ; 5 ;1 ; 5 ; 6 ;0 ;         1 ;
EOLICA-GERACAO ; 1034 ; 5 ; 6 ;0 ; 5 ; 6 ;1 ;         2 ;
EOLICA-GERACAO ; 1034 ; 5 ; 6 ;1 ; 5 ; 7 ;0 ;         5 ;
EOLICA-GERACAO ; 1034 ; 5 ; 7 ;0 ; 5 ; 7 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 5 ; 7 ;1 ; 5 ; 8 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 5 ; 8 ;0 ; 5 ; 9 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 5 ; 9 ;0 ; 5 ;13 ;0 ;        13 ;
EOLICA-GERACAO ; 1034 ; 5 ;13 ;0 ; 5 ;14 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 5 ;14 ;0 ; 5 ;14 ;1 ;        11 ;
EOLICA-GERACAO ; 1034 ; 5 ;14 ;1 ; 5 ;15 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 5 ;15 ;0 ; 5 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 5 ;15 ;1 ; 5 ;16 ;0 ;         7 ;
EOLICA-GERACAO ; 1034 ; 5 ;16 ;0 ; 5 ;16 ;1 ;         5 ;
EOLICA-GERACAO ; 1034 ; 5 ;16 ;1 ; 5 ;17 ;0 ;         2 ;
EOLICA-GERACAO ; 1034 ; 5 ;17 ;0 ; 5 ;17 ;1 ;         1 ;
EOLICA-GERACAO ; 1034 ; 5 ;17 ;1 ; 6 ; 5 ;1 ;         0 ;
EOLICA-GERACAO ; 1034 ; 6 ; 5 ;1 ; 6 ; 6 ;0 ;         1 ;
EOLICA-GERACAO ; 1034 ; 6 ; 6 ;0 ; 6 ; 6 ;1 ;         2 ;
EOLICA-GERACAO ; 1034 ; 6 ; 6 ;1 ; 6 ; 7 ;0 ;         5 ;
EOLICA-GERACAO ; 1034 ; 6 ; 7 ;0 ; 6 ; 7 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 6 ; 7 ;1 ; 6 ; 8 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 6 ; 8 ;0 ; 6 ; 9 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 6 ; 9 ;0 ; 6 ;13 ;0 ;        13 ;
EOLICA-GERACAO ; 1034 ; 6 ;13 ;0 ; 6 ;14 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 6 ;14 ;0 ; 6 ;14 ;1 ;        11 ;
EOLICA-GERACAO ; 1034 ; 6 ;14 ;1 ; 6 ;15 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 6 ;15 ;0 ; 6 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 6 ;15 ;1 ; 6 ;16 ;0 ;         7 ;
EOLICA-GERACAO ; 1034 ; 6 ;16 ;0 ; 6 ;16 ;1 ;         5 ;
EOLICA-GERACAO ; 1034 ; 6 ;16 ;1 ; 6 ;17 ;0 ;         2 ;
EOLICA-GERACAO ; 1034 ; 6 ;17 ;0 ; 6 ;17 ;1 ;         1 ;
EOLICA-GERACAO ; 1034 ; 6 ;17 ;1 ; 7 ; 5 ;1 ;         0 ;
EOLICA-GERACAO ; 1034 ; 7 ; 5 ;1 ; 7 ; 6 ;0 ;         1 ;
EOLICA-GERACAO ; 1034 ; 7 ; 6 ;0 ; 7 ; 6 ;1 ;         2 ;
EOLICA-GERACAO ; 1034 ; 7 ; 6 ;1 ; 7 ; 7 ;0 ;         5 ;
EOLICA-GERACAO ; 1034 ; 7 ; 7 ;0 ; 7 ; 7 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 7 ; 7 ;1 ; 7 ; 8 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 7 ; 8 ;0 ; 7 ; 9 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 7 ; 9 ;0 ; 7 ;13 ;0 ;        13 ;
EOLICA-GERACAO ; 1034 ; 7 ;13 ;0 ; 7 ;14 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 7 ;14 ;0 ; 7 ;14 ;1 ;        11 ;
EOLICA-GERACAO ; 1034 ; 7 ;14 ;1 ; 7 ;15 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 7 ;15 ;0 ; 7 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 7 ;15 ;1 ; 7 ;16 ;0 ;         7 ;
EOLICA-GERACAO ; 1034 ; 7 ;16 ;0 ; 7 ;16 ;1 ;         5 ;
EOLICA-GERACAO ; 1034 ; 7 ;16 ;1 ; 7 ;17 ;0 ;         2 ;
EOLICA-GERACAO ; 1034 ; 7 ;17 ;0 ; 7 ;17 ;1 ;         1 ;
EOLICA-GERACAO ; 1034 ; 7 ;17 ;1 ; 8 ; 5 ;1 ;         0 ;
EOLICA-GERACAO ; 1034 ; 8 ; 5 ;1 ; 8 ; 6 ;0 ;         1 ;
EOLICA-GERACAO ; 1034 ; 8 ; 6 ;0 ; 8 ; 6 ;1 ;         2 ;
EOLICA-GERACAO ; 1034 ; 8 ; 6 ;1 ; 8 ; 7 ;0 ;         5 ;
EOLICA-GERACAO ; 1034 ; 8 ; 7 ;0 ; 8 ; 7 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 8 ; 7 ;1 ; 8 ; 8 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 8 ; 8 ;0 ; 8 ; 9 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 8 ; 9 ;0 ; 8 ;13 ;0 ;        13 ;
EOLICA-GERACAO ; 1034 ; 8 ;13 ;0 ; 8 ;14 ;0 ;        12 ;
EOLICA-GERACAO ; 1034 ; 8 ;14 ;0 ; 8 ;14 ;1 ;        11 ;
EOLICA-GERACAO ; 1034 ; 8 ;14 ;1 ; 8 ;15 ;0 ;        10 ;
EOLICA-GERACAO ; 1034 ; 8 ;15 ;0 ; 8 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1034 ; 8 ;15 ;1 ; 8 ;16 ;0 ;         7 ;
EOLICA-GERACAO ; 1034 ; 8 ;16 ;0 ; 8 ;16 ;1 ;         5 ;
EOLICA-GERACAO ; 1034 ; 8 ;16 ;1 ; 8 ;17 ;0 ;         2 ;
EOLICA-GERACAO ; 1034 ; 8 ;17 ;0 ; 8 ;17 ;1 ;         1 ;
EOLICA-GERACAO ; 1034 ; 8 ;17 ;1 ; 9 ; 0 ;0 ;         0 ;
EOLICA-GERACAO ; 1035 ; 4 ; 0 ;0 ; 4 ; 1 ;0 ;        45 ;
EOLICA-GERACAO ; 1035 ; 4 ; 1 ;0 ; 4 ; 1 ;1 ;        46 ;
EOLICA-GERACAO ; 1035 ; 4 ; 1 ;1 ; 4 ; 2 ;0 ;        45 ;
EOLICA-GERACAO ; 1035 ; 4 ; 2 ;0 ; 4 ; 3 ;0 ;        46 ;
EOLICA-GERACAO ; 1035 ; 4 ; 3 ;0 ; 4 ; 4 ;0 ;        47 ;
EOLICA-GERACAO ; 1035 ; 4 ; 4 ;0 ; 4 ; 4 ;1 ;        48 ;
EOLICA-GERACAO ; 1035 ; 4 ; 4 ;1 ; 4 ; 5 ;0 ;        47 ;
EOLICA-GERACAO ; 1035 ; 4 ; 5 ;0 ; 4 ; 6 ;1 ;        48 ;
EOLICA-GERACAO ; 1035 ; 4 ; 6 ;1 ; 4 ; 7 ;0 ;        46 ;
EOLICA-GERACAO ; 1035 ; 4 ; 7 ;0 ; 4 ; 7 ;1 ;        44 ;
EOLICA-GERACAO ; 1035 ; 4 ; 7 ;1 ; 4 ; 8 ;0 ;        43 ;
EOLICA-GERACAO ; 1035 ; 4 ; 8 ;0 ; 4 ; 8 ;1 ;        42 ;
EOLICA-GERACAO ; 1035 ; 4 ; 8 ;1 ; 4 ; 9 ;0 ;        41 ;
EOLICA-GERACAO ; 1035 ; 4 ; 9 ;0 ; 4 ; 9 ;1 ;        39 ;
EOLICA-GERACAO ; 1035 ; 4 ; 9 ;1 ; 4 ;10 ;1 ;        37 ;
EOLICA-GERACAO ; 1035 ; 4 ;10 ;1 ; 4 ;11 ;0 ;        38 ;
EOLICA-GERACAO ; 1035 ; 4 ;11 ;0 ; 4 ;11 ;1 ;        37 ;
EOLICA-GERACAO ; 1035 ; 4 ;11 ;1 ; 4 ;12 ;0 ;        33 ;
EOLICA-GERACAO ; 1035 ; 4 ;12 ;0 ; 4 ;12 ;1 ;        27 ;
EOLICA-GERACAO ; 1035 ; 4 ;12 ;1 ; 4 ;13 ;0 ;        21 ;
EOLICA-GERACAO ; 1035 ; 4 ;13 ;0 ; 4 ;13 ;1 ;        16 ;
EOLICA-GERACAO ; 1035 ; 4 ;13 ;1 ; 4 ;14 ;0 ;        12 ;
EOLICA-GERACAO ; 1035 ; 4 ;14 ;0 ; 4 ;14 ;1 ;        10 ;
EOLICA-GERACAO ; 1035 ; 4 ;14 ;1 ; 4 ;16 ;0 ;         9 ;
EOLICA-GERACAO ; 1035 ; 4 ;16 ;0 ; 4 ;16 ;1 ;        10 ;
EOLICA-GERACAO ; 1035 ; 4 ;16 ;1 ; 4 ;17 ;0 ;        12 ;
EOLICA-GERACAO ; 1035 ; 4 ;17 ;0 ; 4 ;17 ;1 ;        14 ;
EOLICA-GERACAO ; 1035 ; 4 ;17 ;1 ; 4 ;18 ;0 ;        16 ;
EOLICA-GERACAO ; 1035 ; 4 ;18 ;0 ; 4 ;18 ;1 ;        17 ;
EOLICA-GERACAO ; 1035 ; 4 ;18 ;1 ; 4 ;19 ;0 ;        19 ;
EOLICA-GERACAO ; 1035 ; 4 ;19 ;0 ; 4 ;19 ;1 ;        22 ;
EOLICA-GERACAO ; 1035 ; 4 ;19 ;1 ; 4 ;20 ;0 ;        26 ;
EOLICA-GERACAO ; 1035 ; 4 ;20 ;0 ; 4 ;20 ;1 ;        29 ;
EOLICA-GERACAO ; 1035 ; 4 ;20 ;1 ; 4 ;21 ;0 ;        32 ;
EOLICA-GERACAO ; 1035 ; 4 ;21 ;0 ; 4 ;21 ;1 ;        35 ;
EOLICA-GERACAO ; 1035 ; 4 ;21 ;1 ; 4 ;22 ;0 ;        38 ;
EOLICA-GERACAO ; 1035 ; 4 ;22 ;0 ; 4 ;22 ;1 ;        41 ;
EOLICA-GERACAO ; 1035 ; 4 ;22 ;1 ; 4 ;23 ;0 ;        42 ;
EOLICA-GERACAO ; 1035 ; 4 ;23 ;0 ; 4 ;23 ;1 ;        43 ;
EOLICA-GERACAO ; 1035 ; 4 ;23 ;1 ; 5 ; 0 ;0 ;        44 ;
EOLICA-GERACAO ; 1035 ; 5 ; 0 ;0 ; 5 ; 1 ;0 ;        42 ;
EOLICA-GERACAO ; 1035 ; 5 ; 1 ;0 ; 5 ; 1 ;1 ;        43 ;
EOLICA-GERACAO ; 1035 ; 5 ; 1 ;1 ; 5 ; 3 ;1 ;        42 ;
EOLICA-GERACAO ; 1035 ; 5 ; 3 ;1 ; 5 ; 4 ;0 ;        41 ;
EOLICA-GERACAO ; 1035 ; 5 ; 4 ;0 ; 5 ; 4 ;1 ;        40 ;
EOLICA-GERACAO ; 1035 ; 5 ; 4 ;1 ; 5 ; 5 ;0 ;        39 ;
EOLICA-GERACAO ; 1035 ; 5 ; 5 ;0 ; 5 ; 5 ;1 ;        38 ;
EOLICA-GERACAO ; 1035 ; 5 ; 5 ;1 ; 5 ; 6 ;1 ;        37 ;
EOLICA-GERACAO ; 1035 ; 5 ; 6 ;1 ; 5 ; 7 ;0 ;        35 ;
EOLICA-GERACAO ; 1035 ; 5 ; 7 ;0 ; 5 ; 7 ;1 ;        33 ;
EOLICA-GERACAO ; 1035 ; 5 ; 7 ;1 ; 5 ; 8 ;1 ;        32 ;
EOLICA-GERACAO ; 1035 ; 5 ; 8 ;1 ; 5 ; 9 ;0 ;        30 ;
EOLICA-GERACAO ; 1035 ; 5 ; 9 ;0 ; 5 ; 9 ;1 ;        29 ;
EOLICA-GERACAO ; 1035 ; 5 ; 9 ;1 ; 5 ;10 ;0 ;        26 ;
EOLICA-GERACAO ; 1035 ; 5 ;10 ;0 ; 5 ;10 ;1 ;        25 ;
EOLICA-GERACAO ; 1035 ; 5 ;10 ;1 ; 5 ;11 ;0 ;        23 ;
EOLICA-GERACAO ; 1035 ; 5 ;11 ;0 ; 5 ;11 ;1 ;        21 ;
EOLICA-GERACAO ; 1035 ; 5 ;11 ;1 ; 5 ;12 ;0 ;        19 ;
EOLICA-GERACAO ; 1035 ; 5 ;12 ;0 ; 5 ;12 ;1 ;        16 ;
EOLICA-GERACAO ; 1035 ; 5 ;12 ;1 ; 5 ;13 ;0 ;        14 ;
EOLICA-GERACAO ; 1035 ; 5 ;13 ;0 ; 5 ;13 ;1 ;        12 ;
EOLICA-GERACAO ; 1035 ; 5 ;13 ;1 ; 5 ;14 ;0 ;        10 ;
EOLICA-GERACAO ; 1035 ; 5 ;14 ;0 ; 5 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1035 ; 5 ;15 ;1 ; 5 ;16 ;0 ;        10 ;
EOLICA-GERACAO ; 1035 ; 5 ;16 ;0 ; 5 ;16 ;1 ;        12 ;
EOLICA-GERACAO ; 1035 ; 5 ;16 ;1 ; 5 ;17 ;0 ;        14 ;
EOLICA-GERACAO ; 1035 ; 5 ;17 ;0 ; 5 ;17 ;1 ;        16 ;
EOLICA-GERACAO ; 1035 ; 5 ;17 ;1 ; 5 ;18 ;0 ;        17 ;
EOLICA-GERACAO ; 1035 ; 5 ;18 ;0 ; 5 ;18 ;1 ;        19 ;
EOLICA-GERACAO ; 1035 ; 5 ;18 ;1 ; 5 ;19 ;0 ;        21 ;
EOLICA-GERACAO ; 1035 ; 5 ;19 ;0 ; 5 ;19 ;1 ;        25 ;
EOLICA-GERACAO ; 1035 ; 5 ;19 ;1 ; 5 ;20 ;0 ;        28 ;
EOLICA-GERACAO ; 1035 ; 5 ;20 ;0 ; 5 ;20 ;1 ;        32 ;
EOLICA-GERACAO ; 1035 ; 5 ;20 ;1 ; 5 ;21 ;0 ;        35 ;
EOLICA-GERACAO ; 1035 ; 5 ;21 ;0 ; 5 ;21 ;1 ;        37 ;
EOLICA-GERACAO ; 1035 ; 5 ;21 ;1 ; 5 ;22 ;0 ;        41 ;
EOLICA-GERACAO ; 1035 ; 5 ;22 ;0 ; 5 ;22 ;1 ;        44 ;
EOLICA-GERACAO ; 1035 ; 5 ;22 ;1 ; 5 ;23 ;0 ;        45 ;
EOLICA-GERACAO ; 1035 ; 5 ;23 ;0 ; 5 ;23 ;1 ;        46 ;
EOLICA-GERACAO ; 1035 ; 5 ;23 ;1 ; 6 ; 0 ;0 ;        45 ;
EOLICA-GERACAO ; 1035 ; 6 ; 0 ;0 ; 6 ; 1 ;1 ;        43 ;
EOLICA-GERACAO ; 1035 ; 6 ; 1 ;1 ; 6 ; 2 ;0 ;        42 ;
EOLICA-GERACAO ; 1035 ; 6 ; 2 ;0 ; 6 ; 2 ;1 ;        43 ;
EOLICA-GERACAO ; 1035 ; 6 ; 2 ;1 ; 6 ; 4 ;0 ;        42 ;
EOLICA-GERACAO ; 1035 ; 6 ; 4 ;0 ; 6 ; 4 ;1 ;        40 ;
EOLICA-GERACAO ; 1035 ; 6 ; 4 ;1 ; 6 ; 5 ;0 ;        39 ;
EOLICA-GERACAO ; 1035 ; 6 ; 5 ;0 ; 6 ; 5 ;1 ;        38 ;
EOLICA-GERACAO ; 1035 ; 6 ; 5 ;1 ; 6 ; 6 ;0 ;        37 ;
EOLICA-GERACAO ; 1035 ; 6 ; 6 ;0 ; 6 ; 6 ;1 ;        36 ;
EOLICA-GERACAO ; 1035 ; 6 ; 6 ;1 ; 6 ; 7 ;0 ;        33 ;
EOLICA-GERACAO ; 1035 ; 6 ; 7 ;0 ; 6 ; 7 ;1 ;        30 ;
EOLICA-GERACAO ; 1035 ; 6 ; 7 ;1 ; 6 ; 8 ;0 ;        29 ;
EOLICA-GERACAO ; 1035 ; 6 ; 8 ;0 ; 6 ; 8 ;1 ;        27 ;
EOLICA-GERACAO ; 1035 ; 6 ; 8 ;1 ; 6 ; 9 ;0 ;        25 ;
EOLICA-GERACAO ; 1035 ; 6 ; 9 ;0 ; 6 ; 9 ;1 ;        23 ;
EOLICA-GERACAO ; 1035 ; 6 ; 9 ;1 ; 6 ;10 ;0 ;        21 ;
EOLICA-GERACAO ; 1035 ; 6 ;10 ;0 ; 6 ;10 ;1 ;        20 ;
EOLICA-GERACAO ; 1035 ; 6 ;10 ;1 ; 6 ;11 ;0 ;        19 ;
EOLICA-GERACAO ; 1035 ; 6 ;11 ;0 ; 6 ;11 ;1 ;        17 ;
EOLICA-GERACAO ; 1035 ; 6 ;11 ;1 ; 6 ;12 ;0 ;        15 ;
EOLICA-GERACAO ; 1035 ; 6 ;12 ;0 ; 6 ;12 ;1 ;        12 ;
EOLICA-GERACAO ; 1035 ; 6 ;12 ;1 ; 6 ;13 ;0 ;        10 ;
EOLICA-GERACAO ; 1035 ; 6 ;13 ;0 ; 6 ;13 ;1 ;         9 ;
EOLICA-GERACAO ; 1035 ; 6 ;13 ;1 ; 6 ;14 ;0 ;         8 ;
EOLICA-GERACAO ; 1035 ; 6 ;14 ;0 ; 6 ;15 ;0 ;         7 ;
EOLICA-GERACAO ; 1035 ; 6 ;15 ;0 ; 6 ;16 ;0 ;         8 ;
EOLICA-GERACAO ; 1035 ; 6 ;16 ;0 ; 6 ;16 ;1 ;         9 ;
EOLICA-GERACAO ; 1035 ; 6 ;16 ;1 ; 6 ;17 ;0 ;        11 ;
EOLICA-GERACAO ; 1035 ; 6 ;17 ;0 ; 6 ;17 ;1 ;        13 ;
EOLICA-GERACAO ; 1035 ; 6 ;17 ;1 ; 6 ;18 ;1 ;        15 ;
EOLICA-GERACAO ; 1035 ; 6 ;18 ;1 ; 6 ;19 ;0 ;        17 ;
EOLICA-GERACAO ; 1035 ; 6 ;19 ;0 ; 6 ;19 ;1 ;        20 ;
EOLICA-GERACAO ; 1035 ; 6 ;19 ;1 ; 6 ;20 ;0 ;        23 ;
EOLICA-GERACAO ; 1035 ; 6 ;20 ;0 ; 6 ;20 ;1 ;        28 ;
EOLICA-GERACAO ; 1035 ; 6 ;20 ;1 ; 6 ;21 ;0 ;        32 ;
EOLICA-GERACAO ; 1035 ; 6 ;21 ;0 ; 6 ;21 ;1 ;        36 ;
EOLICA-GERACAO ; 1035 ; 6 ;21 ;1 ; 6 ;22 ;0 ;        40 ;
EOLICA-GERACAO ; 1035 ; 6 ;22 ;0 ; 6 ;22 ;1 ;        43 ;
EOLICA-GERACAO ; 1035 ; 6 ;22 ;1 ; 6 ;23 ;1 ;        45 ;
EOLICA-GERACAO ; 1035 ; 6 ;23 ;1 ; 7 ; 0 ;0 ;        44 ;
EOLICA-GERACAO ; 1035 ; 7 ; 0 ;0 ; 7 ; 0 ;1 ;        42 ;
EOLICA-GERACAO ; 1035 ; 7 ; 0 ;1 ; 7 ; 1 ;0 ;        43 ;
EOLICA-GERACAO ; 1035 ; 7 ; 1 ;0 ; 7 ; 1 ;1 ;        42 ;
EOLICA-GERACAO ; 1035 ; 7 ; 1 ;1 ; 7 ; 3 ;0 ;        41 ;
EOLICA-GERACAO ; 1035 ; 7 ; 3 ;0 ; 7 ; 4 ;0 ;        40 ;
EOLICA-GERACAO ; 1035 ; 7 ; 4 ;0 ; 7 ; 4 ;1 ;        38 ;
EOLICA-GERACAO ; 1035 ; 7 ; 4 ;1 ; 7 ; 5 ;0 ;        37 ;
EOLICA-GERACAO ; 1035 ; 7 ; 5 ;0 ; 7 ; 5 ;1 ;        36 ;
EOLICA-GERACAO ; 1035 ; 7 ; 5 ;1 ; 7 ; 6 ;1 ;        35 ;
EOLICA-GERACAO ; 1035 ; 7 ; 6 ;1 ; 7 ; 7 ;0 ;        33 ;
EOLICA-GERACAO ; 1035 ; 7 ; 7 ;0 ; 7 ; 7 ;1 ;        32 ;
EOLICA-GERACAO ; 1035 ; 7 ; 7 ;1 ; 7 ; 8 ;0 ;        31 ;
EOLICA-GERACAO ; 1035 ; 7 ; 8 ;0 ; 7 ; 8 ;1 ;        30 ;
EOLICA-GERACAO ; 1035 ; 7 ; 8 ;1 ; 7 ; 9 ;0 ;        28 ;
EOLICA-GERACAO ; 1035 ; 7 ; 9 ;0 ; 7 ; 9 ;1 ;        25 ;
EOLICA-GERACAO ; 1035 ; 7 ; 9 ;1 ; 7 ;11 ;0 ;        24 ;
EOLICA-GERACAO ; 1035 ; 7 ;11 ;0 ; 7 ;11 ;1 ;        22 ;
EOLICA-GERACAO ; 1035 ; 7 ;11 ;1 ; 7 ;12 ;0 ;        19 ;
EOLICA-GERACAO ; 1035 ; 7 ;12 ;0 ; 7 ;12 ;1 ;        16 ;
EOLICA-GERACAO ; 1035 ; 7 ;12 ;1 ; 7 ;13 ;0 ;        14 ;
EOLICA-GERACAO ; 1035 ; 7 ;13 ;0 ; 7 ;13 ;1 ;        12 ;
EOLICA-GERACAO ; 1035 ; 7 ;13 ;1 ; 7 ;14 ;0 ;        10 ;
EOLICA-GERACAO ; 1035 ; 7 ;14 ;0 ; 7 ;15 ;1 ;         9 ;
EOLICA-GERACAO ; 1035 ; 7 ;15 ;1 ; 7 ;16 ;0 ;        10 ;
EOLICA-GERACAO ; 1035 ; 7 ;16 ;0 ; 7 ;16 ;1 ;        11 ;
EOLICA-GERACAO ; 1035 ; 7 ;16 ;1 ; 7 ;17 ;0 ;        13 ;
EOLICA-GERACAO ; 1035 ; 7 ;17 ;0 ; 7 ;17 ;1 ;        14 ;
EOLICA-GERACAO ; 1035 ; 7 ;17 ;1 ; 7 ;18 ;0 ;        15 ;
EOLICA-GERACAO ; 1035 ; 7 ;18 ;0 ; 7 ;18 ;1 ;        16 ;
EOLICA-GERACAO ; 1035 ; 7 ;18 ;1 ; 7 ;19 ;0 ;        18 ;
EOLICA-GERACAO ; 1035 ; 7 ;19 ;0 ; 7 ;19 ;1 ;        21 ;
EOLICA-GERACAO ; 1035 ; 7 ;19 ;1 ; 7 ;20 ;0 ;        25 ;
EOLICA-GERACAO ; 1035 ; 7 ;20 ;0 ; 7 ;20 ;1 ;        29 ;
EOLICA-GERACAO ; 1035 ; 7 ;20 ;1 ; 7 ;21 ;0 ;        33 ;
EOLICA-GERACAO ; 1035 ; 7 ;21 ;0 ; 7 ;21 ;1 ;        37 ;
EOLICA-GERACAO ; 1035 ; 7 ;21 ;1 ; 7 ;22 ;0 ;        41 ;
EOLICA-GERACAO ; 1035 ; 7 ;22 ;0 ; 7 ;23 ;1 ;        44 ;
EOLICA-GERACAO ; 1035 ; 7 ;23 ;1 ; 8 ; 0 ;0 ;        43 ;
EOLICA-GERACAO ; 1035 ; 8 ; 0 ;0 ; 8 ; 1 ;1 ;        42 ;
EOLICA-GERACAO ; 1035 ; 8 ; 1 ;1 ; 8 ; 2 ;0 ;        40 ;
